delay,method,level,execute_horizon,mean_inference_s,mean_task_completion_time_s,returned_episode_lengths,returned_episode_returns,returned_episode_solved,worker_id
1,bid,worlds/l/hard_lunar_lander.json,4,1.1580515255016508,1.4632487,43.89746,0.9663086,0.9448242,1
1,naive,worlds/l/cartpole_thrust.json,5,0.6419246953504626,1.554476,46.634277,0.9711914,0.97998047,1
1,naive,worlds/l/hard_lunar_lander.json,5,0.6419246953504626,1.4700034,44.100098,0.93847656,0.93066406,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,5,0.647977404698031,1.454948,43.648438,0.9555664,0.9682617,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,5,0.647977404698031,1.4602865,43.808594,0.9667969,0.9458008,1
1,bid,worlds/l/cartpole_thrust.json,5,1.154514511799789,1.5558432,46.675293,0.9604492,0.97021484,1
1,bid,worlds/l/hard_lunar_lander.json,5,1.154514511799789,1.4585613,43.756836,0.9394531,0.92285156,1
1,naive,worlds/l/cartpole_thrust.json,6,0.6522748354502255,1.8746746,56.240234,0.9501953,0.96533203,1
1,naive,worlds/l/hard_lunar_lander.json,6,0.6522748354502255,1.4761882,44.285645,0.90966797,0.90966797,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,6,0.6617548368987627,1.4798666,44.395996,0.91259766,0.9404297,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,6,0.6617548368987627,1.453825,43.614746,0.9506836,0.9379883,1
1,bid,worlds/l/cartpole_thrust.json,6,1.172693668951979,1.8053875,54.16162,0.94921875,0.96777344,1
1,bid,worlds/l/hard_lunar_lander.json,6,1.172693668951979,1.4700359,44.101074,0.92089844,0.91748047,1
1,naive,worlds/l/cartpole_thrust.json,7,0.6551111516484525,1.8828939,56.486816,0.84033203,0.88916016,1
1,naive,worlds/l/hard_lunar_lander.json,7,0.6551111516484525,1.5111817,45.33545,0.8574219,0.8671875,1
1,discrete_rtc,worlds/l/cartpole_thrust.json,7,0.6670314741000766,1.4885255,44.65576,0.89990234,0.9316406,1
1,discrete_rtc,worlds/l/hard_lunar_lander.json,7,0.6670314741000766,1.4714193,44.14258,0.95166016,0.9296875,1
1,bid,worlds/l/cartpole_thrust.json,7,1.1751824278995628,1.8074219,54.222656,0.88427734,0.9213867,1
1,bid,worlds/l/hard_lunar_lander.json,7,1.1751824278995628,1.4918457,44.75537,0.90185547,0.89941406,1
2,naive,worlds/l/cartpole_thrust.json,2,0.6612452656991081,1.5798178,47.39453,0.9121094,0.9394531,1
2,naive,worlds/l/hard_lunar_lander.json,2,0.6612452656991081,1.4747071,44.24121,0.95703125,0.9375,1
2,discrete_rtc,worlds/l/cartpole_thrust.json,2,0.6514096047496423,1.456478,43.694336,0.99316406,0.9941406,1
